Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8
11	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_63R_crop_8000,15.00,0.00,175,175)	pic(DBear_bowlpast,-15.00,0.00,175,175)	pic(DBear_paintb16,0.00,15.00,175,175)	pic(DBear_pictfr24,0.00,-15.00,175,175)
12	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_36R_crop_8000,0.00,-15.00,175,175)	pic(DBear_tablela5,0.00,15.00,175,175)	pic(DBear_tracto67,-15.00,0.00,175,175)	pic(DBear_87nation,15.00,0.00,175,175)
13	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_146R_crop_8000,0.00,15.00,175,175)	pic(DBear_chickpla,0.00,-15.00,175,175)	pic(DBear_alfrom87,15.00,0.00,175,175)	pic(DBear_pillow,-15.00,0.00,175,175)
14	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_110R_crop_8000,-15.00,0.00,175,175)	pic(DBear_bracel31,0.00,-15.00,175,175)	pic(DBear_SSvan2,15.00,0.00,175,175)	pic(DBear_doorkn14,0.00,15.00,175,175)
15	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_63R_crop_8000,0.00,15.00,175,175)	pic(DBear_jug16,15.00,0.00,175,175)	pic(DBear_heartpen,0.00,-15.00,175,175)	pic(DBear_tongs15,-15.00,0.00,175,175)
16	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_63R_crop_8000,0.00,15.00,175,175)	pic(DBear_wafflem2,15.00,0.00,175,175)	pic(DBear_bracel13,0.00,-15.00,175,175)	pic(DBear_66fairla,-15.00,0.00,175,175)
17	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_129R_crop_8000,15.00,0.00,175,175)	pic(DBear_walker5,0.00,-15.00,175,175)	pic(DBear_coffper9,-15.00,0.00,175,175)	pic(DBear_bakingp6,0.00,15.00,175,175)
18	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_110R_crop_8000,0.00,15.00,175,175)	pic(DBear_candle46,0.00,-15.00,175,175)	pic(DBear_brush26,-15.00,0.00,175,175)	pic(DBear_snaptur3,15.00,0.00,175,175)
19	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_142R_crop_8000,15.00,0.00,175,175)	pic(DBear_house26,-15.00,0.00,175,175)	pic(DBear_musta2,0.00,-15.00,175,175)	pic(DBear_96gt,0.00,15.00,175,175)
20	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_194R_crop_8000,0.00,-15.00,175,175)	pic(DBear_muffipa5,0.00,15.00,175,175)	pic(DBear_antcont3,-15.00,0.00,175,175)	pic(DBear_straine8,15.00,0.00,175,175)
21	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_212R_crop_8000,15.00,0.00,175,175)	pic(DBear_ovenmit7,0.00,15.00,175,175)	pic(DBear_painted7,-15.00,0.00,175,175)	pic(DBear_bikelock,0.00,-15.00,175,175)
22	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_212R_crop_8000,0.00,15.00,175,175)	pic(DBear_shelf2,15.00,0.00,175,175)	pic(DBear_cricket4,-15.00,0.00,175,175)	pic(DBear_antcont3,0.00,-15.00,175,175)
23	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_165R_crop_8000,0.00,-15.00,175,175)	pic(DBear_clogs80,0.00,15.00,175,175)	pic(DBear_suitca20,-15.00,0.00,175,175)	pic(DBear_straine8,15.00,0.00,175,175)
24	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_142R_crop_8000,15.00,0.00,175,175)	pic(DBear_raceca20,0.00,-15.00,175,175)	pic(DBear_bed20,-15.00,0.00,175,175)	pic(DBear_brush28,0.00,15.00,175,175)
25	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_194R_crop_8000,15.00,0.00,175,175)	pic(DBear_wig116,-15.00,0.00,175,175)	pic(DBear_brush26,0.00,15.00,175,175)	pic(DBear_house26,0.00,-15.00,175,175)
26	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_212R_crop_8000,0.00,15.00,175,175)	pic(DBear_cookpo22,-15.00,0.00,175,175)	pic(DBear_antither,0.00,-15.00,175,175)	pic(DBear_66fairla,15.00,0.00,175,175)
27	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_142R_crop_8000,0.00,15.00,175,175)	pic(DBear_96gt,-15.00,0.00,175,175)	pic(DBear_bakingp6,15.00,0.00,175,175)	pic(DBear_mirror2,0.00,-15.00,175,175)
28	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_36R_crop_8000,0.00,15.00,175,175)	pic(DBear_receive6,-15.00,0.00,175,175)	pic(DBear_garlbre4,15.00,0.00,175,175)	pic(DBear_antcar,0.00,-15.00,175,175)
29	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_165R_crop_8000,15.00,0.00,175,175)	pic(DBear_crockj31,0.00,-15.00,175,175)	pic(DBear_neklace2,0.00,15.00,175,175)	pic(DBear_printer1,-15.00,0.00,175,175)
30	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_165R_crop_8000,0.00,15.00,175,175)	pic(DBear_flowpot8,15.00,0.00,175,175)	pic(DBear_cooking3,-15.00,0.00,175,175)	pic(DBear_earphon8,0.00,-15.00,175,175)
31	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_129R_crop_8000,-15.00,0.00,175,175)	pic(DBear_screw21,0.00,-15.00,175,175)	pic(DBear_frenoni2,0.00,15.00,175,175)	pic(DBear_towelra2,15.00,0.00,175,175)
32	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_165R_crop_8000,0.00,-15.00,175,175)	pic(DBear_jug16,-15.00,0.00,175,175)	pic(DBear_diction4,0.00,15.00,175,175)	pic(DBear_earphon8,15.00,0.00,175,175)
33	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_110R_crop_8000,0.00,15.00,175,175)	pic(DBear_pineapp6,0.00,-15.00,175,175)	pic(DBear_coatha23,15.00,0.00,175,175)	pic(DBear_chesset2,-15.00,0.00,175,175)
34	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_36R_crop_8000,0.00,-15.00,175,175)	pic(DBear_cutboar7,15.00,0.00,175,175)	pic(DBear_dressho4,0.00,15.00,175,175)	pic(DBear_scallshe,-15.00,0.00,175,175)
35	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_165R_crop_8000,0.00,15.00,175,175)	pic(DBear_pigefigu,15.00,0.00,175,175)	pic(DBear_jug16,0.00,-15.00,175,175)	pic(DBear_silvlamp,-15.00,0.00,175,175)
36	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_20R_crop_8000,-15.00,0.00,175,175)	pic(DBear_cabine31,0.00,15.00,175,175)	pic(DBear_coatha23,0.00,-15.00,175,175)	pic(DBear_brush26,15.00,0.00,175,175)
37	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_142R_crop_8000,0.00,-15.00,175,175)	pic(DBear_chesset2,-15.00,0.00,175,175)	pic(DBear_brooch36,15.00,0.00,175,175)	pic(DBear_bartlett,0.00,15.00,175,175)
38	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_36R_crop_8000,0.00,-15.00,175,175)	pic(DBear_ventilla,0.00,15.00,175,175)	pic(DBear_meather3,15.00,0.00,175,175)	pic(DBear_horsdeco,-15.00,0.00,175,175)
39	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_63R_crop_8000,15.00,0.00,175,175)	pic(DBear_jagss103,0.00,15.00,175,175)	pic(DBear_toad2,0.00,-15.00,175,175)	pic(DBear_ironboa4,-15.00,0.00,175,175)
40	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_165R_crop_8000,-15.00,0.00,175,175)	pic(DBear_modcar2,0.00,15.00,175,175)	pic(DBear_antiqr41,0.00,-15.00,175,175)	pic(DBear_jewelbo5,15.00,0.00,175,175)
41	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_63R_crop_8000,0.00,15.00,175,175)	pic(DBear_bedroom9,0.00,-15.00,175,175)	pic(DBear_woodbo11,-15.00,0.00,175,175)	pic(DBear_pearlbro,15.00,0.00,175,175)
42	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_165R_crop_8000,15.00,0.00,175,175)	pic(DBear_96gt,0.00,15.00,175,175)	pic(DBear_antfry13,0.00,-15.00,175,175)	pic(DBear_dockspid,-15.00,0.00,175,175)
43	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_146R_crop_8000,-15.00,0.00,175,175)	pic(DBear_honeyjar,15.00,0.00,175,175)	pic(DBear_tractbu2,0.00,15.00,175,175)	pic(DBear_meather3,0.00,-15.00,175,175)
44	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_142R_crop_8000,0.00,15.00,175,175)	pic(DBear_ferr5502,0.00,-15.00,175,175)	pic(DBear_coppan3,-15.00,0.00,175,175)	pic(DBear_bluecan7,15.00,0.00,175,175)
45	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_142R_crop_8000,0.00,15.00,175,175)	pic(DBear_96gt,-15.00,0.00,175,175)	pic(DBear_citroen6,15.00,0.00,175,175)	pic(DBear_bikelock,0.00,-15.00,175,175)
46	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_63R_crop_8000,0.00,-15.00,175,175)	pic(DBear_train88,15.00,0.00,175,175)	pic(DBear_jug16,-15.00,0.00,175,175)	pic(DBear_cushio29,0.00,15.00,175,175)
47	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_146R_crop_8000,15.00,0.00,175,175)	pic(DBear_firehat7,-15.00,0.00,175,175)	pic(DBear_painted7,0.00,-15.00,175,175)	pic(DBear_brush9,0.00,15.00,175,175)
48	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_142R_crop_8000,0.00,-15.00,175,175)	pic(DBear_glases17,15.00,0.00,175,175)	pic(DBear_tarantu2,0.00,15.00,175,175)	pic(DBear_Chinfig5,-15.00,0.00,175,175)
49	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_146R_crop_8000,0.00,-15.00,175,175)	pic(DBear_ovenmit7,15.00,0.00,175,175)	pic(DBear_diction4,-15.00,0.00,175,175)	pic(DBear_africs17,0.00,15.00,175,175)
50	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_212R_crop_8000,-15.00,0.00,175,175)	pic(DBear_94ZR-1,0.00,-15.00,175,175)	pic(DBear_fishlu38,15.00,0.00,175,175)	pic(DBear_lightbu3,0.00,15.00,175,175)
51	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_36R_crop_8000,-15.00,0.00,175,175)	pic(DBear_whisk5,0.00,-15.00,175,175)	pic(DBear_coatha23,0.00,15.00,175,175)	pic(DBear_casket2,15.00,0.00,175,175)
52	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_63R_crop_8000,0.00,-15.00,175,175)	pic(DBear_longho22,0.00,15.00,175,175)	pic(DBear_jagss103,15.00,0.00,175,175)	pic(DBear_lanter44,-15.00,0.00,175,175)
53	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_20R_crop_8000,0.00,-15.00,175,175)	pic(DBear_belgwaf4,-15.00,0.00,175,175)	pic(DBear_pictfr24,15.00,0.00,175,175)	pic(DBear_iron8,0.00,15.00,175,175)
54	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_20R_crop_8000,0.00,-15.00,175,175)	pic(DBear_schotabl,-15.00,0.00,175,175)	pic(DBear_kettle4,0.00,15.00,175,175)	pic(DBear_bracel31,15.00,0.00,175,175)
55	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_212R_crop_8000,-15.00,0.00,175,175)	pic(DBear_brush28,0.00,-15.00,175,175)	pic(DBear_heartfra,0.00,15.00,175,175)	pic(DBear_scorpion,15.00,0.00,175,175)
56	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_212R_crop_8000,0.00,15.00,175,175)	pic(DBear_antcar31,15.00,0.00,175,175)	pic(DBear_bathoil2,0.00,-15.00,175,175)	pic(DBear_87nation,-15.00,0.00,175,175)
